AVERAGE
1737837
1747006.5
1603865
1378295
1332411.5
1261532.5
1300523.5
1181169.5
1186682
1426022
1814407.5
1097745
1053352
1005813.5
946325
942345
925865.5
925243
922590
918779.5
865155.5
866940
854808
835988
808854
746808
746914.5
786149.5
804918.5
808990.5
848500
849072
822148
828075.5
842138
839507
841022
788883.5
740377
710371
687427
682528.5
666812
672747.5
654938.5
653211
676562
678908
686077.5
673929
658098.5
623809
627209
642513
635278.5
631710
629611
607638.5
567427.5
551246.5
526418
518670.5
501490.5
489071.5
483255
479721.5
481853
487168
483298.5
478175
471027
459463.5
449507.5
448504.5
428637.5
420076
411654.5
407671.5
418961
426561.5
429448.5
438380.5
427211.5
421776
385334.5
373463.5
396847.5
446329.5
453145.5
446413
444913.5
474923
476142.5
502706.5
473226
467288
490701
537920.5
541854
526371.5
503324
499374.5
486060.5
471065.5
491125
491813.5
485651
458262.5
451538
438386.5
449862.5
445049
454150
485527.5
484049
458569.5
458384
455746
432452.5
401151
387231.5
382026
385333.5
368729.5
364980.5
324156
311972
312198.5
313419.5
314023
314658
297199.5
288781
290780.5
293080
283420
289592
290311.5
292662.5
292496.5
290317.5
276594.5
274153.5
250092.5
241837
227880.5
233567.5
256164
269188
273978.5
281055.5
284564.5
288167
296582.5
297997.5
300056.5
302132
303545.5
298722.5
290278
277424.5
281213
283944
288120
291412.5
290917
303953.5
301615
303742
319679
304185
304744.5
299326
287629
297729
290928.5
276213.5
289220.5
309778
329279.5
328736.5
327414.5
332754
326715
324339.5
324664
312600.5
297308
283150.5
288569
283987
280677.5
266170.5
265912.5
267730.5
248060.5
270081
318780
318375
267348
253305
241635.5
236627.5
224610.5
220672
210539
212493
199037.5
199802.5
198849.5
201936.5
213782.5
212551
200576.5
184330
177318
174927.5
176371.5
187470.5
187722
158002.5
158061.5
151448.5
146926.5
147635.5
146747
145314.5
142226.5
137947
134913.5
134551
134214.5
134073
132747.5
125454.5
130594.5
130001
134092.5
134270.5
133251
129793.5
132682.5
130501.5
131050.5
130958.5
126989.5
126958
126812.5
125854
125726.5
124611
120716.5
119823
114898
115072.5
115427
117346
111347.5
105832.5
107527
112555
120656.5
120159
121472
119102.5
124637.5
125648
136334
139023.5
146602
142899
139967.5
137132.5
136613.5
135611
135511
138771.5
143528.5
141704
144098.5
141830
142063
138711
131280.5
133683.5
131713
126375.5
127465.5
128990.5
125499.5
122118.5
122206.5
119896.5
119170
118628
117799
116250
115187.5
110796
114554
114305.5
111893
115372.5
114697.5
117947
115273
114406.5
113993
113605
112489
109864
105377
103702
104174.5
105516.5
105136
104129
102670
102121.5
102825
102889
100930
103279
103062.5
101823.5
99558.5
96876
91859
95437
95952.5
91358.5
96509
97751.5
104418.5
106364.5
103697.5
104841.5
118033
120417
122453.5
117829
114596
111581
111760.5
111724.5
110247.5
106651
106882.5
100958.5
102291.5
104335.5
101767
98976.5
98470
92096
92209.5
95060.5
92319.5
94047
94046
92867.5
92464
88721.5
88455
88223
87630
86244.5
86307.5
85937
86380
86149.5
89396
87039
83106
82261
81611
81529.5
82438
82796.5
82206.5
82828
81646
80884
80458
80540.5
81688.5
80444.5
79128
78778
76623.5
75467
75460
76483.5
76438
76161
74863.5
72863
70726
70865.5
72166.5
72456.5
74304
73067
72989.5
73443.5
73678.5
72401
71373
69791
66822
67723.5
66684
66441
65786.5
65255.5
65231
66693.5
66162.5
66286.5
66845.5
64810.5
64114
64988
64315.5
62487.5
60650
60917
61152
60416.5
59811.5
59922.5
59849.5
60600
60613
60750
60516.5
60678
59870.5
59933.5
59624.5
59790
59588
60331
60131
60141.5
62251
60786.5
61114
61258
61759
62090.5
61753.5
61301.5
61117.5
61851.5
62662.5
63621
62837
60937
61174.5
61405.5
60784
59718
57505.5
58572.5
58497
58169
57928
57474
56917.5
56046
55859.5
55163
56454.5
64630.5
65565.5
66932
67476
67274
67749.5
69247
69423.5
69596
69920
70331.5
70725.5
70811.5
70324.5
69721
69208.5
69164.5
68176.5
67487
67649.5
65786
65749.5
65955
65690.5
65857
68289
68205.5
68503
68902.5
69025
67183.5
66797
68000.5
65747
65693
68272
68415.5
62656
64151.5
68454.5
73842.5
78486.5
78618.5
78514.5
77613
75406.5
73678
74574
70449.5
66593
63355
61231
61257
61723
62341.5
60433.5
59970.5
59502.5
58541.5
58104
58873.5
60602.5
57244
54517
51069.5
49189
47004
47948
48100
47158.5
48360
48409.5
48641.5
48975.5
49339.5
49413.5
48677
48647
48753.5
48541.5
49196.5
49494.5
50461
47983
47579.5
48703.5
48518.5
48022
47679.5
47342
47505
47503.5
47396
48536
49216
50232
50535
50964
50440.5
49322
48034.5
48034.5
47662
47289.5
46868
47144.5
46229.5
46551
46640.5
25411.5
25106
47280.5
47532.5
46421.5
46651
47019
47484
46871
46654
47259
47421.5
47591.5
47509
47962.5
48545
48596
47873
47981
47859
47378.5
46656
46611
46327
46707.5
47146.5
47246.5
47745
48206.5
48279.5
48104
48024.5
48348
48068.5
47261.5
47285
47203
46345
46281
46508
47660.5
49230
50099.5
50204
49993
49769
49786
48818
48534.5
48706.5
48004
47985
48885
48479
50884
51126.5
48459
48648.5
47198.5
44169.5
42995.5
42233.5
42078
43388.5
43688.5
43590
44732.5
43429
45774.5
45051.5
44272
44755.5
46871.5
46016.5
46444
47874.5
48599.5
48158
46925.5
46566
46589.5
46745.5
47829
47747.5
47733
46184
46655
45745
46561
47613.5
51399.5
52686.5
53288
52393.5
52344
53908.5
53159.5
53023.5
51518
51708.5
51914
51612
52468.5
51815.5
51902
52511
52038.5
52377.5
51808.5
52565
55093
54803.5
53908.5
52824.5
50991.5
51239.5
55354
52546
52953
55245.5
52295.5
50713.5
50018
27971.5
26409.5
51198
52386.5
49477.5
49856.5
48848.5
46703.5
45390
44156.5
44561
45634.5
45739
44695.5
44095.5
42644
42098.5
39833.5
39416
39767.5
40183
39543.5
39662
40733
40111
40155
39780
40271.5
41205
40605
40118
42497
44515.5
46343
46976.5
46712.5
49363.5
54310.5
52585.5
43983
40816.5
38836.5
39837
38738.5
36958
35542
34839
34466.5
34595
33306.5
32920.5
32057.5
31442.5
31510.5
31149
31181
30619
30173.5
29746.5
29699
30129
29436
29436
29308.5
28991.5
28830.5
28537
28699
28177
28343
28136
28072
28150.5
28647.5
28542
27977.5
28390
28263.5
28115.5
27813.5
27416.5
27374
25484
27726
27829.5
27866.5
27454.5
27579
27733
27859
28076.5
27936
27750
27965.5
26274.5
26076.5
28434.5
28080.5
27385
27082
27410.5
27033.5
27309
27312.5
27310
27168.5
27449.5
27316
26515
25849.5
27342.5
28007
28141
28779.5
28785.5
29865.5
30078
32193
32436
32934.5
32938.5
33012
33170.5
32828
32694.5
33388.5
33714.5
34682.5
35034.5
35187
34937.5
34672.5
34693
34936.5
35406.5
35833
36196
36067.5
36041
35852
35182.5
34912
34291.5
34350
34544.5
34199
34310.5
34332.5
34814
35214
36078.5
36537
36448.5
36657.5
34877
34345
32897
32813
33275.5
29451
28346
33531.5
33083
32822
32919.5
27707
27495
28926
29652.5
33416.5
32872
27957
27245
26595
25745.5
24823.5
24366
24256.5
26783.5
27029
24741.5
25914
29600
32551.5
32831.5
33940
34270
34343.5
33828.5
33117.5
33080.5
34539.5
36659.5
38143
37873
37819
37922.5
38157.5
38456.5
38624.5
38739
39282
39781
38542
38048.5
38357
36471.5
35957
36438
39086
40224.5
41663
41715.5
41596.5
42182
42028.5
42643.5
44302.5
45529
45561.5
45364.5
45073.5
45284
45526.5
45065.5
45208.5
45085
44049.5
42694
43913
44723.5
45244
44358.5
42666.5
42052
43479
43968
44724
45980.5
46138.5
44818.5
45310
49004.5
48352.5
44904
41733.5
40315.5
39266
39016.5
39281.5
38865.5
37828.5
37119
36537
36291.5
37480.5
37724
37614.5
37683
38079.5
38716.5
38881.5
38173.5
39499
40193
40437
40740
40645
39543.5
39041.5
37596.5
41230.5
42395.5
40782.5
38912
38076
36805
37345
38931.5
35919
36561
35564.5
36093
38617
40703
40986.5
42169
41794
40917.5
43042
43956
44438.5
45739.5
46321.5
46141.5
42998
43552.5
44206.5
47092
48951
49107
