"日付け","終値","始値","高値","安値","出来高","前日比%"
"2016年04月06日","46,856","46,419","49,229","45,739","0.58K","0.94%"
"2016年04月05日","46,419","44,808","49,470","44,272","0.53K","3.59%"
"2016年04月04日","44,808","46,919","48,818","44,490","0.38K","-4.50%"
"2016年04月03日","46,919","48,070","48,305","46,213","0.28K","-2.39%"
"2016年04月02日","48,070","47,748","48,707","46,136","0.19K","0.67%"
"2016年04月01日","47,748","46,484","49,044","46,139","0.36K","2.72%"
"2016年03月31日","46,484","46,847","49,277","45,741","0.47K","-0.78%"
"2016年03月30日","46,847","46,735","50,027","45,898","0.34K","0.24%"
"2016年03月29日","46,735","47,617","50,936","46,154","0.41K","-1.85%"
"2016年03月28日","47,617","48,148","50,825","46,367","0.21K","-1.10%"
"2016年03月27日","48,148","46,669","49,400","46,346","0.29K","3.17%"
"2016年03月26日","46,669","46,886","49,348","46,614","0.09K","-0.46%"
"2016年03月25日","46,886","46,482","49,624","46,094","0.42K","0.87%"
"2016年03月24日","46,482","46,995","49,367","45,390","0.36K","-1.09%"
"2016年03月23日","46,995","47,744","49,408","43,904","0.37K","-1.57%"
"2016年03月22日","47,744","46,975","49,460","43,762","0.41K","1.64%"
"2016年03月21日","46,975","45,849","48,004","44,650","0.22K","2.46%"
"2016年03月20日","45,849","45,275","48,249","45,166","0.08K","1.27%"
"2016年03月19日","45,275","45,542","49,148","45,145","0.46K","-0.59%"
"2016年03月18日","45,542","47,034","49,166","45,327","0.45K","-3.17%"
"2016年03月17日","47,034","46,553","49,588","45,902","0.33K","1.03%"
"2016年03月16日","46,553","47,939","49,940","46,473","0.26K","-2.89%"
"2016年03月15日","47,939","46,868","50,070","46,489","0.29K","2.29%"
"2016年03月14日","46,868","47,497","50,133","46,075","0.50K","-1.32%"
"2016年03月13日","47,497","47,062","49,701","46,348","0.04K","0.92%"
"2016年03月12日","47,062","47,411","50,690","46,006","0.25K","-0.74%"
"2016年03月11日","47,411","45,648","50,581","45,556","0.49K","3.86%"
"2016年03月10日","45,648","47,749","49,072","45,451","0.37K","-4.40%"
"2016年03月09日","47,749","46,219","48,880","45,690","0.40K","3.31%"
"2016年03月08日","46,219","46,347","49,020","45,386","0.23K","-0.28%"
"2016年03月07日","46,347","45,941","47,238","45,452","0.20K","0.88%"
"2016年03月06日","45,941","45,283","47,958","44,604","0.13K","1.46%"
"2016年03月05日","45,283","46,890","48,662","44,354","0.21K","-3.43%"
"2016年03月04日","46,890","46,623","48,701","46,620","0.13K","0.57%"
"2016年03月03日","46,623","47,986","51,837","46,623","0.13K","-2.84%"
"2016年03月02日","47,986","48,970","52,502","47,697","0.14K","-2.01%"
"2016年03月01日","48,970","49,612","52,536","47,872","0.40K","-1.29%"
"2016年02月29日","49,612","49,261","52,286","47,700","0.25K","0.71%"
"2016年02月28日","49,261","48,471","52,100","47,438","0.18K","1.63%"
"2016年02月27日","48,471","48,881","51,990","47,582","0.09K","-0.84%"
"2016年02月26日","48,881","47,850","51,024","46,612","0.23K","2.16%"
"2016年02月25日","47,850","47,251","50,622","46,447","0.31K","1.27%"
"2016年02月24日","47,251","46,590","51,420","45,993","0.43K","1.42%"
"2016年02月23日","46,590","49,101","51,915","44,093","0.37K","-5.12%"
"2016年02月22日","49,101","48,758","51,709","44,261","0.42K","0.70%"
"2016年02月21日","48,758","49,082","52,503","45,267","0.41K","-0.66%"
"2016年02月20日","49,082","47,164","50,215","46,743","0.04K","4.07%"
"2016年02月19日","47,164","47,070","54,962","46,806","0.11K","0.20%"
"2016年02月18日","47,070","47,248","55,296","46,957","0.48K","-0.38%"
"2016年02月17日","47,248","46,907","51,294","45,624","0.27K","0.73%"
"2016年02月16日","46,907","45,709","52,614","44,683","0.58K","2.62%"
"2016年02月15日","45,709","45,356","50,453","43,944","0.29K","0.78%"
"2016年02月14日","45,356","43,892","45,356","42,983","0.13K","3.34%"
"2016年02月13日","43,892","42,968","44,022","41,969","0.07K","2.15%"
"2016年02月12日","42,968","42,431","43,308","41,159","0.07K","1.26%"
"2016年02月11日","42,431","43,135","44,013","40,143","0.28K","-1.63%"
"2016年02月10日","43,135","43,051","44,649","42,128","0.06K","0.20%"
"2016年02月09日","43,051","42,816","44,866","42,511","0.10K","0.55%"
"2016年02月08日","42,816","43,472","44,382","42,798","0.02K","-1.51%"
"2016年02月07日","43,472","43,585","46,377","43,088","0.18K","-0.26%"
"2016年02月06日","43,585","44,929","46,587","40,271","0.21K","-2.99%"
"2016年02月05日","44,929","46,953","48,077","43,472","0.22K","-4.31%"
"2016年02月04日","46,953","42,800","47,963","42,140","0.43K","9.70%"
"2016年02月03日","42,800","43,289","46,812","41,732","0.24K","-1.13%"
"2016年02月02日","43,289","45,385","49,443","40,068","0.29K","-4.62%"
"2016年02月01日","45,385","44,144","49,608","44,135","0.39K","2.81%"
"2016年01月31日","44,144","46,694","47,889","44,144","0.17K","-5.46%"
"2016年01月30日","46,694","45,248","47,827","45,061","0.06K","3.20%"
"2016年01月29日","45,248","44,839","52,944","42,805","0.36K","0.91%"
"2016年01月28日","44,839","46,729","52,581","44,618","0.58K","-4.04%"
"2016年01月27日","46,729","46,351","50,997","45,319","0.63K","0.82%"
"2016年01月26日","46,351","44,882","50,701","43,150","0.64K","3.27%"
"2016年01月25日","44,882","47,102","49,855","43,277","0.55K","-4.71%"
"2016年01月24日","47,101","45,292","49,435","43,744","0.39K","4.92%"
"2016年01月23日","44,893","45,175","48,768","44,723","0.10K","-0.62%"
"2016年01月22日","45,175","50,980","50,980","44,678","0.49K","-11.39%"
"2016年01月21日","50,980","49,500","51,057","44,438","0.28K","2.99%"
"2016年01月20日","49,500","44,565","51,526","43,940","0.55K","11.07%"
"2016年01月19日","44,565","46,108","48,199","44,169","0.67K","-3.07%"
"2016年01月18日","45,976","46,225","48,655","44,655","0.11K","0.09%"
"2016年01月17日","45,933","45,893","48,221","43,269","0.46K","0.09%"
"2016年01月16日","45,893","42,851","51,362","41,760","1.03K","-3.08%"
"2016年01月15日","47,352","50,042","52,388","42,839","1.48K","-5.38%"
"2016年01月14日","50,042","50,431","53,307","49,492","1.30K","-0.27%"
"2016年01月13日","50,175","50,981","55,716","49,657","1.58K","-1.58%"
"2016年01月12日","50,981","52,739","55,605","50,971","1.04K","-3.33%"
"2016年01月11日","52,739","52,145","54,083","50,704","0.14K","1.14%"
"2016年01月10日","52,145","52,789","53,980","50,708","0.15K","-1.22%"
"2016年01月09日","52,789","53,932","55,070","52,747","0.50K","-2.11%"
"2016年01月08日","53,926","53,836","55,553","50,766","0.14K","-0.78%"
"2016年01月07日","54,350","51,228","55,449","50,598","1.58K","5.69%"
"2016年01月06日","51,422","52,249","52,281","50,755","0.86K","-1.58%"
"2016年01月05日","52,249","51,392","52,488","50,929","0.17K","1.67%"
"2016年01月04日","51,392","51,489","53,298","50,530","0.28K","-0.19%"
"2016年01月03日","51,489","51,802","52,713","50,511","0.10K","-0.61%"
"2016年01月02日","51,802","52,048","53,387","51,550","0.09K","-0.47%"
"2016年01月01日","52,048","51,832","53,343","50,288","0.07K","0.42%"
"2015年12月31日","51,832","51,568","53,509","50,295","0.44K","0.51%"
"2015年12月30日","51,568","53,239","54,522","50,500","0.22K","-3.14%"
"2015年12月29日","53,239","50,547","53,964","50,113","0.22K","5.33%"
"2015年12月28日","50,547","50,612","55,295","49,460","0.36K","-0.13%"
"2015年12月27日","50,612","50,902","54,644","48,973","0.07K","-0.57%"
"2015年12月26日","50,902","54,686","56,159","48,971","0.24K","-6.92%"
"2015年12月25日","54,687","55,436","56,807","53,379","0.46K","-0.73%"
"2015年12月24日","55,092","53,546","56,870","52,737","0.64K","3.14%"
"2015年12月23日","53,414","53,323","55,585","52,232","0.39K","0.17%"
"2015年12月22日","53,323","53,394","55,801","49,848","1.33K","-0.13%"
"2015年12月21日","53,394","46,155","55,843","46,140","1.16K","15.68%"
"2015年12月20日","46,155","56,324","56,324","46,155","0.23K","-18.05%"
"2015年12月19日","56,324","55,370","56,687","54,021","0.05K","1.72%"
"2015年12月18日","55,370","53,957","56,791","48,301","0.30K","2.36%"
"2015年12月17日","54,093","53,837","57,607","48,299","0.64K","0.48%"
"2015年12月16日","53,837","55,419","57,266","53,225","0.40K","-2.86%"
"2015年12月15日","55,419","52,934","56,723","47,868","0.83K","4.69%"
"2015年12月14日","52,934","47,871","54,531","46,896","1.54K","10.58%"
"2015年12月13日","47,871","47,894","53,282","46,754","1.90K","-0.05%"
"2015年12月12日","47,894","48,754","53,281","2,662","1.86K","-1.76%"
"2015年12月11日","48,754","50,543","52,803","16","3.57K","-3.55%"
"2015年12月10日","50,549","51,282","52,586","49,810","1.80K","-1.43%"
"2015年12月09日","51,282","49,088","56,605","48,168","1.95K","5.51%"
"2015年12月08日","48,603","49,678","51,649","47,306","0.05K","-0.95%"
"2015年12月07日","49,068","48,876","52,071","47,642","0.10K","-3.70%"
"2015年12月06日","50,954","48,157","52,016","45,681","1.70K","5.81%"
"2015年12月05日","48,157","45,270","48,415","44,992","1.64K","6.38%"
"2015年12月04日","45,270","45,612","46,735","44,045","0.21K","-0.75%"
"2015年12月03日","45,612","44,334","45,800","42,513","0.59K","2.88%"
"2015年12月02日","44,334","44,444","47,151","41,971","1.37K","-1.16%"
"2015年12月01日","44,856","46,301","48,158","43,111","2.13K","-3.43%"
"2015年11月30日","46,450","44,926","47,888","43,590","0.28K","5.77%"
"2015年11月29日","43,917","43,939","46,125","43,266","0.35K","0.07%"
"2015年11月28日","43,888","44,073","45,423","42,768","1.86K","-0.96%"
"2015年11月27日","44,313","43,606","45,317","39,971","1.21K","2.41%"
"2015年11月26日","43,272","40,094","45,289","38,908","2.45K","10.63%"
"2015年11月25日","39,113","39,192","41,329","38,338","0.08K","-0.80%"
"2015年11月24日","39,428","39,629","40,414","38,418","0.85K","-0.51%"
"2015年11月23日","39,629","40,230","41,085","38,450","0.83K","-0.35%"
"2015年11月22日","39,767","40,305","41,086","39,280","0.77K","0.64%"
"2015年11月21日","39,516","38,800","41,088","37,999","0.22K","-0.09%"
"2015年11月20日","39,551","41,170","41,319","38,005","2.64K","-1.27%"
"2015年11月19日","40,060","41,355","41,954","39,512","1.79K","-2.88%"
"2015年11月18日","41,250","41,013","41,966","38,256","0.59K","0.58%"
"2015年11月17日","41,013","40,553","42,114","38,196","2.05K","3.92%"
"2015年11月16日","39,467","39,410","41,277","38,283","0.33K","-3.62%"
"2015年11月15日","40,949","40,629","41,671","38,872","1.01K","0.29%"
"2015年11月14日","40,830","41,520","42,062","40,348","2.12K","-1.66%"
"2015年11月13日","41,520","41,480","42,321","38,889","2.65K","5.63%"
"2015年11月12日","39,306","38,132","42,510","37,726","0.02K","3.08%"
"2015年11月11日","38,132","41,750","47,445","37,549","1.51K","-8.66%"
"2015年11月10日","41,750","46,877","48,240","40,791","2.12K","-10.94%"
"2015年11月09日","46,876","45,961","48,213","44,473","0.66K","1.99%"
"2015年11月08日","45,961","47,548","48,681","45,272","0.83K","-3.34%"
"2015年11月07日","47,548","46,136","49,436","43,989","0.28K","3.06%"
"2015年11月06日","46,136","48,651","55,729","42,998","0.85K","-5.17%"
"2015年11月05日","48,651","54,206","61,439","47,182","0.51K","-18.46%"
"2015年11月04日","59,663","48,274","62,658","42,513","0.75K","23.59%"
"2015年11月03日","48,274","43,539","48,656","39,310","0.71K","10.88%"
"2015年11月02日","43,539","40,117","44,423","37,210","1.29K","8.53%"
"2015年11月01日","40,118","38,251","40,903","36,770","0.39K","4.88%"
"2015年10月31日","38,251","40,428","42,527","37,147","0.59K","-5.38%"
"2015年10月30日","40,428","38,325","42,577","34,900","0.78K","5.49%"
"2015年10月29日","38,325","36,539","39,016","34,900","1.40K","4.89%"
"2015年10月28日","36,539","35,208","37,131","33,953","1.63K","6.62%"
"2015年10月27日","34,271","34,164","36,079","33,599","0.27K","0.31%"
"2015年10月26日","34,164","34,338","35,502","33,431","0.96K","-0.51%"
"2015年10月25日","34,338","33,313","36,064","33,126","1.02K","3.08%"
"2015年10月24日","33,313","33,203","34,138","32,475","1.05K","0.15%"
"2015年10月23日","33,264","32,394","34,225","31,616","0.95K","2.69%"
"2015年10月22日","32,394","31,379","33,570","30,545","1.14K","1.52%"
"2015年10月21日","31,910","32,197","32,627","30,258","0.14K","-0.07%"
"2015年10月20日","31,932","31,549","32,426","30,595","0.31K","2.40%"
"2015年10月19日","31,185","30,695","32,149","30,149","1.34K","2.00%"
"2015年10月18日","30,574","30,632","32,338","30,024","2.11K","-0.74%"
"2015年10月17日","30,803","30,365","32,183","29,055","1.77K","0.86%"
"2015年10月16日","30,539","30,259","31,297","29,050","1.91K","0.93%"
"2015年10月15日","30,259","29,671","30,555","28,938","1.70K","0.57%"
"2015年10月14日","30,088","29,713","30,666","28,732","0.66K","1.26%"
"2015年10月13日","29,713","29,436","31,292","28,966","1.65K","0.94%"
"2015年10月12日","29,436","29,436","29,436","29,436","0.73K","0.00%"
"2015年10月11日","29,436","29,436","29,436","29,436","0.73K","0.00%"
"2015年10月10日","29,436","29,054","30,123","28,494","0.73K","0.48%"
"2015年10月09日","29,297","28,955","30,117","27,866","0.38K","1.18%"
"2015年10月08日","28,955","28,218","30,118","27,543","1.65K","2.61%"
"2015年10月07日","28,218","29,014","29,711","27,363","1.17K","-1.57%"
"2015年10月06日","28,667","28,630","29,630","27,768","0.06K","0.13%"
"2015年10月05日","28,630","27,941","28,895","27,459","0.90K","2.47%"
"2015年10月04日","27,941","28,107","29,247","27,439","0.76K","0.04%"
"2015年10月03日","27,930","27,933","28,837","27,435","0.17K","-1.68%"
"2015年10月02日","28,408","27,954","28,896","27,248","0.47K","0.58%"
"2015年10月01日","28,244","28,024","29,074","27,227","0.61K","0.78%"
"2015年09月30日","28,024","28,472","29,365","27,930","0.78K","-1.57%"
"2015年09月29日","28,472","27,868","29,501","27,583","1.27K","2.96%"
"2015年09月28日","27,653","27,881","28,894","27,061","0.12K","-0.90%"
"2015年09月27日","27,905","28,213","28,918","27,862","0.74K","-0.97%"
"2015年09月26日","28,178","28,350","28,646","27,881","0.63K","-0.61%"
"2015年09月25日","28,350","27,972","28,678","27,553","1.16K","1.35%"
"2015年09月24日","27,972","27,646","28,458","27,169","1.14K","1.15%"
"2015年09月23日","27,653","27,410","27,990","26,843","1.01K","2.58%"
"2015年09月22日","26,957","27,266","27,961","26,787","0.36K","-1.26%"
"2015年09月21日","27,300","27,577","28,209","22,759","0.25K","-1.00%"
"2015年09月20日","27,577","27,687","28,239","27,213","0.52K","0.28%"
"2015年09月19日","27,499","27,627","28,308","27,351","0.08K","0.05%"
"2015年09月18日","27,486","27,620","28,517","27,216","0.90K","-0.49%"
"2015年09月17日","27,621","27,417","28,051","26,858","0.59K","0.74%"
"2015年09月16日","27,417","27,378","28,050","27,108","0.22K","-0.96%"
"2015年09月15日","27,683","27,873","28,470","26,996","0.17K","-0.68%"
"2015年09月14日","27,873","27,692","28,483","27,235","0.16K","0.65%"
"2015年09月13日","27,692","28,242","28,883","27,270","0.10K","-1.95%"
"2015年09月12日","28,242","28,807","29,127","26,745","0.19K","-1.96%"
"2015年09月11日","28,807","27,950","29,259","26,241","0.62K","2.98%"
"2015年09月10日","27,975","28,177","29,662","26,269","1.14K","-0.68%"
"2015年09月09日","28,166","28,817","29,701","22,848","1.31K","-3.85%"
"2015年09月08日","29,295","28,724","29,495","22,658","0.95K","2.74%"
"2015年09月07日","28,512","28,291","29,186","27,683","1.08K","0.78%"
"2015年09月06日","28,291","27,681","28,982","27,179","1.55K","2.28%"
"2015年09月05日","27,662","27,284","28,049","26,721","0.75K","1.44%"
"2015年09月04日","27,269","27,108","27,629","26,535","1.66K","0.60%"
"2015年09月03日","27,108","27,362","28,120","26,701","1.32K","-0.53%"
"2015年09月02日","27,253","26,732","27,906","26,161","1.32K","1.94%"
"2015年09月01日","26,736","27,608","28,326","26,292","0.91K","-3.16%"
"2015年08月31日","27,608","26,855","28,221","26,404","0.18K","4.30%"
"2015年08月30日","26,470","28,030","28,421","26,199","0.69K","-1.44%"
"2015年08月29日","26,856","27,986","28,573","25,764","1.48K","-4.04%"
"2015年08月28日","27,986","27,248","28,500","26,399","1.14K","2.08%"
"2015年08月27日","27,415","27,410","27,913","26,719","0.94K","-0.05%"
"2015年08月26日","27,430","26,762","27,809","25,221","1.36K","2.50%"
"2015年08月25日","26,762","25,968","27,407","24,292","0.27K","3.06%"
"2015年08月24日","25,968","27,832","28,951","25,734","0.42K","-6.70%"
"2015年08月23日","27,832","27,942","28,496","27,518","0.05K","-0.39%"
"2015年08月22日","27,942","28,446","29,119","27,163","0.59K","-1.80%"
"2015年08月21日","28,454","29,120","29,363","28,196","0.57K","-2.29%"
"2015年08月20日","29,120","28,056","29,991","27,580","0.36K","3.80%"
"2015年08月19日","28,054","28,437","32,086","27,645","0.68K","-11.14%"
"2015年08月18日","31,572","31,909","32,486","27,670","0.65K","-1.06%"
"2015年08月17日","31,909","32,024","32,616","31,770","0.84K","-0.36%"
"2015年08月16日","32,024","33,125","33,169","31,703","0.83K","-1.87%"
"2015年08月15日","32,636","32,898","33,425","32,444","0.60K","-0.50%"
"2015年08月14日","32,801","32,926","33,445","32,432","0.18K","-0.01%"
"2015年08月13日","32,803","32,963","33,584","32,440","0.43K","-0.48%"
"2015年08月12日","32,963","33,790","33,918","32,423","0.91K","-0.51%"
"2015年08月11日","33,132","32,361","33,792","31,864","0.31K","2.39%"
"2015年08月10日","32,360","32,647","33,215","32,174","0.78K","-0.19%"
"2015年08月09日","32,422","32,472","34,717","32,060","0.03K","-5.96%"
"2015年08月08日","34,476","34,798","35,056","32,373","0.13K","0.33%"
"2015年08月07日","34,363","34,543","35,142","34,223","0.09K","-0.52%"
"2015年08月06日","34,543","35,096","35,607","34,462","0.53K","-1.58%"
"2015年08月05日","35,095","35,175","35,614","34,760","0.51K","-0.23%"
"2015年08月04日","35,175","34,525","35,544","34,331","0.63K","1.28%"
"2015年08月03日","34,730","34,622","35,353","33,992","0.60K","0.16%"
"2015年08月02日","34,675","34,675","35,361","34,025","0.52K","-0.02%"
"2015年08月01日","34,681","35,421","35,690","34,183","0.69K","-2.09%"
"2015年07月31日","35,421","35,560","35,929","34,884","0.86K","-0.39%"
"2015年07月30日","35,560","35,679","36,573","35,093","0.70K","-0.33%"
"2015年07月29日","35,679","36,741","36,875","35,517","0.95K","-2.16%"
"2015年07月28日","36,467","36,182","36,946","35,189","1.09K","0.79%"
"2015年07月27日","36,182","35,736","36,909","35,173","0.64K","-0.23%"
"2015年07月26日","36,264","35,550","36,391","35,313","0.54K","1.26%"
"2015年07月25日","35,812","35,712","36,221","34,144","0.97K","0.28%"
"2015年07月24日","35,712","34,228","35,889","33,935","0.74K","3.86%"
"2015年07月23日","34,386","34,387","34,687","33,896","0.32K","-0.00%"
"2015年07月22日","34,387","34,219","34,871","33,829","0.50K","0.44%"
"2015年07月21日","34,237","34,354","35,181","33,908","0.69K","-0.11%"
"2015年07月20日","34,274","33,965","34,708","33,690","0.59K","0.40%"
"2015年07月19日","34,139","34,225","34,955","33,666","0.42K","-0.25%"
"2015年07月18日","34,225","34,507","34,966","33,699","0.87K","-0.82%"
"2015年07月17日","34,507","34,450","36,142","33,486","1.50K","-2.14%"
"2015年07月16日","35,262","35,718","36,951","33,477","0.52K","-0.51%"
"2015年07月15日","35,444","35,537","36,859","35,298","0.89K","-0.26%"
"2015年07月14日","35,537","36,064","38,254","34,820","0.99K","-1.46%"
"2015年07月13日","36,064","38,157","38,636","34,261","0.61K","-5.49%"
"2015年07月12日","38,157","35,874","38,600","34,715","0.68K","6.07%"
"2015年07月11日","35,975","35,040","36,612","33,142","0.69K","2.67%"
"2015年07月10日","35,040","33,159","36,172","32,518","1.35K","5.85%"
"2015年07月09日","33,104","32,844","33,488","32,306","0.73K","0.91%"
"2015年07月08日","32,804","32,920","33,388","32,238","0.75K","0.53%"
"2015年07月07日","32,631","33,353","34,138","32,413","1.48K","10.80%"
"2015年05月09日","29,451","29,451","29,451","29,451","-","3.90%"
"2015年05月08日","28,346","28,346","28,346","28,346","-","-16.18%"
"2015年03月09日","33,818","33,220","34,285","32,778","1.14K","1.80%"
"2015年03月08日","33,220","33,176","33,636","32,530","0.83K","0.13%"
"2015年03月07日","33,176","32,898","33,594","32,050","1.08K","0.61%"
"2015年03月06日","32,975","33,673","34,196","31,643","1.46K","20.95%"
"2015年01月31日","27,263","26,894","28,520","26,894","0.82K","1.37%"
"2015年01月30日","26,894","27,622","28,739","26,251","1.35K","-2.64%"
"2015年01月29日","27,622","27,878","31,568","26,284","0.68K","-0.92%"
"2015年01月28日","27,878","31,071","31,971","27,334","1.19K","-12.11%"
"2015年01月27日","31,719","33,630","37,076","29,757","0.79K","-3.43%"
"2015年01月26日","32,846","29,600","37,128","28,616","1.33K","13.70%"
"2015年01月24日","28,888","27,207","29,329","26,585","0.05K","6.18%"
"2015年01月23日","27,207","27,476","28,149","26,341","0.42K","-0.98%"
"2015年01月22日","27,476","26,867","28,319","24,871","0.49K","2.26%"
"2015年01月21日","26,867","24,879","27,399","24,092","0.68K","7.99%"
"2015年01月20日","24,879","24,973","25,698","23,949","1.15K","-0.38%"
"2015年01月19日","24,973","24,618","25,814","22,918","0.57K","1.44%"
"2015年01月18日","24,618","24,714","25,892","22,621","0.81K","4.99%"
"2015年01月17日","23,448","24,872","30,981","22,586","1.56K","-5.73%"
"2015年01月16日","24,872","25,327","31,230","22,828","0.97K","-1.80%"
"2015年01月15日","25,327","26,186","29,521","19,962","1.06K","18.89%"
"2015年01月14日","21,303","26,601","31,926","19,902","1.80K","-19.92%"
"2015年01月13日","26,601","32,409","32,647","26,553","2.36K","-17.22%"
"2015年01月12日","32,136","31,738","33,616","31,487","1.30K","1.25%"
"2015年01月11日","31,738","33,114","34,122","31,541","1.56K","-3.80%"
"2015年01月10日","32,993","34,244","35,005","32,875","1.20K","-3.38%"
"2015年01月09日","34,147","33,936","35,253","33,287","1.48K","-0.22%"
"2015年01月08日","34,220","34,578","35,540","33,147","0.94K","-1.03%"
"2015年01月07日","34,578","34,366","35,399","32,258","0.76K","4.23%"
"2015年01月06日","33,174","32,724","34,366","31,869","0.97K","1.38%"
"2015年01月05日","32,724","34,080","35,147","31,014","0.59K","-3.80%"
"2015年01月04日","34,015","36,997","38,018","31,061","0.17K","-9.63%"
"2015年01月03日","37,642","38,023","38,301","35,018","0.09K","-1.00%"
"2015年01月02日","38,023","38,182","38,615","37,671","1.01K","0.27%"
"2015年01月01日","37,921","38,492","38,569","37,177","0.31K","-1.48%"
"2014年12月31日","38,492","37,586","38,492","37,146","0.97K","2.09%"
"2014年12月30日","37,702","38,375","38,684","37,161","0.93K","-0.92%"
"2014年12月29日","38,051","37,948","38,828","37,487","0.00K","0.27%"
"2014年12月28日","37,948","38,066","39,462","37,451","0.12K","-0.31%"
"2014年12月27日","38,066","39,445","39,693","37,556","0.23K","-3.50%"
"2014年12月26日","39,445","38,670","39,702","37,776","0.23K","2.00%"
"2014年12月25日","38,670","39,070","40,550","38,014","0.03K","-1.02%"
"2014年12月24日","39,070","40,101","41,315","38,247","0.72K","-2.57%"
"2014年12月23日","40,101","40,071","41,119","35,965","0.56K","2.57%"
"2014年12月22日","39,098","38,327","40,242","35,855","1.45K","2.01%"
"2014年12月21日","38,327","39,062","39,543","37,171","0.28K","-1.88%"
"2014年12月20日","39,062","37,750","39,524","33,419","0.30K","3.47%"
"2014年12月19日","37,750","36,878","38,613","33,301","1.56K","2.37%"
"2014年12月18日","36,878","39,094","39,779","33,097","1.28K","-4.05%"
"2014年12月17日","38,436","38,554","40,891","37,281","1.22K","-0.31%"
"2014年12月16日","38,554","41,377","41,895","38,554","1.02K","-7.22%"
"2014年12月15日","41,555","42,061","42,268","41,058","1.16K","-1.20%"
"2014年12月14日","42,061","42,071","42,209","41,222","0.28K","-0.02%"
"2014年12月13日","42,071","42,144","42,144","41,049","0.36K","-0.17%"
"2014年12月12日","42,144","42,458","43,735","40,629","0.65K","-1.52%"
"2014年12月11日","42,795","41,657","43,849","40,208","0.22K","2.73%"
"2014年12月10日","41,657","42,451","44,297","40,990","0.52K","-1.87%"
"2014年12月09日","42,451","44,067","46,745","41,860","0.71K","-3.67%"
"2014年12月08日","44,067","45,307","46,998","44,060","1.31K","-2.74%"
"2014年12月07日","45,307","45,805","46,079","45,044","0.38K","-1.09%"
"2014年12月06日","45,805","45,799","45,999","44,730","0.44K","0.01%"
"2014年12月05日","45,799","44,502","46,157","43,990","0.65K","2.91%"
"2014年12月04日","44,502","45,326","46,371","44,197","0.87K","-1.82%"
"2014年12月03日","45,326","45,872","46,560","44,493","1.11K","-1.19%"
"2014年12月02日","45,872","45,104","46,050","44,081","1.17K","1.70%"
"2014年12月01日","45,104","45,355","45,969","44,448","1.35K","-0.55%"
"2014年11月30日","45,355","44,243","45,927","44,243","0.11K","2.51%"
"2014年11月29日","44,243","45,287","46,012","42,087","0.09K","-2.31%"
"2014年11月28日","45,287","44,117","45,287","40,101","1.03K","2.65%"
"2014年11月27日","44,117","43,442","44,888","42,938","0.71K","1.55%"
"2014年11月26日","43,442","45,071","46,014","43,433","0.39K","-3.61%"
"2014年11月25日","45,071","44,338","47,490","42,998","0.43K","1.65%"
"2014年11月24日","44,338","44,194","46,017","42,700","0.72K","0.33%"
"2014年11月23日","44,194","41,128","44,205","41,128","0.03K","7.46%"
"2014年11月22日","41,128","42,168","43,224","40,880","0.20K","-2.47%"
"2014年11月21日","42,168","42,709","46,038","40,920","0.48K","-1.27%"
"2014年11月20日","42,709","44,590","46,232","41,704","0.43K","-4.22%"
"2014年11月19日","44,590","44,376","46,241","43,207","0.62K","0.48%"
"2014年11月18日","44,376","45,348","48,669","43,292","0.57K","-2.14%"
"2014年11月17日","45,348","45,714","48,466","43,811","0.48K","-0.80%"
"2014年11月16日","45,714","44,753","46,259","43,378","0.60K","2.15%"
"2014年11月15日","44,753","46,883","47,370","43,250","0.42K","-4.54%"
"2014年11月14日","46,883","47,501","54,606","43,403","0.80K","-1.30%"
"2014年11月13日","47,501","47,732","54,454","42,251","0.74K","-0.48%"
"2014年11月12日","47,732","42,478","48,377","41,431","1.60K","12.37%"
"2014年11月11日","42,478","41,894","42,999","40,468","1.53K","1.40%"
"2014年11月10日","41,894","40,614","42,303","38,328","1.44K","3.15%"
"2014年11月09日","40,614","39,012","40,614","37,918","0.71K","4.11%"
"2014年11月08日","39,012","38,700","40,183","37,850","0.39K","0.81%"
"2014年11月07日","38,700","39,251","40,331","38,232","0.43K","-1.41%"
"2014年11月06日","39,251","38,590","40,365","37,366","1.43K","1.71%"
"2014年11月05日","38,590","37,432","39,447","36,210","0.88K","3.09%"
"2014年11月04日","37,432","37,050","38,358","35,880","1.05K","1.03%"
"2014年11月03日","37,050","36,831","38,348","34,726","0.70K","0.59%"
"2014年11月02日","36,831","35,907","37,536","35,047","0.60K","2.57%"
"2014年11月01日","35,907","37,987","39,105","35,856","0.33K","-5.48%"
"2014年10月31日","37,987","37,298","38,849","36,599","1.65K","1.85%"
"2014年10月30日","37,298","36,501","39,232","35,997","1.15K","2.18%"
"2014年10月29日","36,501","38,829","38,948","36,418","1.52K","-6.00%"
"2014年10月28日","38,829","37,757","38,979","37,180","2.17K","2.84%"
"2014年10月27日","37,757","39,402","40,288","37,145","1.75K","-4.17%"
"2014年10月26日","39,402","37,741","40,342","37,421","0.53K","4.40%"
"2014年10月25日","37,741","38,986","39,147","37,200","0.61K","-3.19%"
"2014年10月24日","38,986","38,699","41,409","37,589","0.74K","0.74%"
"2014年10月23日","38,699","41,470","42,156","38,230","0.86K","-6.68%"
"2014年10月22日","41,470","41,478","41,812","39,062","1.05K","-0.02%"
"2014年10月21日","41,478","41,163","42,076","39,404","0.95K","0.76%"
