"日付け","終値","始値","高値","安値","出来高","前日比%"
"2017年10月17日","634,682","646,682","656,551","628,475","0.04K","-1.86%"
"2017年10月16日","646,682","640,736","657,214","613,343","0.03K","0.93%"
"2017年10月15日","640,736","641,376","649,894","613,526","0.06K","-0.10%"
"2017年10月14日","641,376","626,833","679,763","579,459","0.01K","2.32%"
"2017年10月13日","626,833","603,830","679,763","535,514","0.08K","3.81%"
"2017年10月12日","603,830","535,745","608,320","526,535","0.13K","12.71%"
"2017年10月11日","535,745","529,605","579,834","522,659","0.06K","1.16%"
"2017年10月10日","529,605","521,316","543,653","509,183","0.06K","1.52%"
"2017年10月09日","521,692","502,668","539,816","497,525","0.04K","3.78%"
"2017年10月08日","502,668","494,927","513,768","489,213","0.03K","1.56%"
"2017年10月07日","494,927","487,560","495,221","482,922","0.01K","1.51%"
"2017年10月06日","487,560","490,673","496,803","469,707","0.04K","-0.63%"
"2017年10月05日","490,673","480,618","491,379","468,064","0.05K","2.09%"
"2017年10月04日","480,618","487,987","491,477","472,229","0.04K","-1.51%"
"2017年10月03日","487,987","489,139","495,358","478,978","0.03K","-0.24%"
"2017年10月02日","489,139","488,197","493,590","473,007","0.03K","0.19%"
"2017年10月01日","488,197","489,003","489,723","466,627","0.02K","-0.16%"
"2017年09月30日","489,003","470,316","489,723","452,331","0.06K","3.97%"
"2017年09月29日","470,316","470,544","478,241","440,686","0.08K","-0.05%"
"2017年09月28日","470,544","476,947","479,015","420,000","0.05K","-1.34%"
"2017年09月27日","476,947","434,942","477,009","420,000","0.11K","9.66%"
"2017年09月26日","434,942","433,470","449,470","407,805","0.10K","0.34%"
"2017年09月25日","433,470","414,530","443,388","396,764","0.09K","4.57%"
"2017年09月24日","414,530","416,338","421,574","401,735","0.01K","-0.43%"
"2017年09月23日","416,338","394,294","422,969","392,374","0.02K","5.59%"
"2017年09月22日","394,294","415,909","454,851","383,071","0.08K","-5.20%"
"2017年09月21日","415,909","438,642","450,326","402,797","0.10K","-5.18%"
"2017年09月20日","438,642","436,101","452,873","406,024","0.10K","0.58%"
"2017年09月19日","436,101","455,084","464,840","411,921","0.09K","-4.17%"
"2017年09月18日","455,084","403,502","463,320","391,103","0.15K","12.78%"
"2017年09月17日","403,502","421,285","453,675","389,877","0.08K","-4.22%"
"2017年09月16日","421,285","411,332","460,707","309,962","0.14K","2.42%"
"2017年09月15日","411,332","342,929","437,284","309,643","0.35K","19.95%"
"2017年09月14日","342,929","439,264","452,732","340,963","0.32K","-21.93%"
"2017年09月13日","439,264","448,767","478,742","413,917","0.20K","-2.12%"
